,Dataset ID,latitude degrees_north,longitude degrees_east,sea_water_practical_salinity,sea_water_temperature,cdm_data_type,server
0,currents_117217,48.4270266667,-126.1749083333,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_117675,48.427025,-126.174645,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,currents_117675,48.427025,-126.174645,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_118844,48.427025,-126.174645,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,currents_118844,48.427025,-126.174645,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1189208,48.4270666667,-126.1744,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,currents_1189208,48.4270666667,-126.1744,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1194397,48.426958,-126.17478899999999,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,currents_1194397,48.426958,-126.17478899999999,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1205198,48.42680724,-126.1754706,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,currents_1205198,48.42680724,-126.1754706,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_117355,48.4274566667,-126.1745783333,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,currents_117355,48.4274566667,-126.1745783333,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_117687,48.4274316667,-126.174625,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,currents_117687,48.4274316667,-126.174625,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_118810,48.4274283333,-126.17466499999999,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,currents_118810,48.4274283333,-126.17466499999999,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1205224,48.427198,-126.174375,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,currents_1205224,48.427198,-126.174375,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_117233,48.427275,-126.1748166667,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_118808,48.427275,-126.1748166667,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_119063,48.4272983333,-126.1747516667,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1205214,48.427295,-126.174705,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_117354,48.4274566667,-126.1745783333,salinity,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_117686,48.4274316667,-126.174625,salinity,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_118809,48.4274283333,-126.17466499999999,salinity,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1189201,48.42735,-126.1747233333,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1190473,48.42740667,-126.17458500000001,,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1192792,48.42740667,-126.17458500000001,salinity,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1194404,48.42740667,-126.17458500000001,salinity,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1200612,48.42742912,-126.1745865,salinity,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1202976,48.427372999999996,-126.1743,,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1205219,48.427234000000006,-126.174295,salinity,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1203032,48.427372999999996,-126.1743,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1189202,48.42735,-126.1747233333,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,profile_1190487,48.42738167,-126.174155,,temperature,TimeSeriesProfile,http://dap.onc.uvic.ca/erddap
0,scalar_1190474,48.42740667,-126.17458500000001,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1192793,48.42740667,-126.17458500000001,,,TimeSeries,http://dap.onc.uvic.ca/erddap
